time_s,x,y,z,x_error,y_error,z_error,yaw,pitch,roll,roll_command,pitch_command,yaw_command,thrust_command,pitch_cmd_p,pitch_cmd_i,pitch_cmd_d,roll_cmd_p,roll_cmd_i,roll_cmd_d,thrust_cmd_p,thrust_cmd_i,thrust_cmd_d
20250903_114327.806227,2.020318031311035,0.17553406953811646,2.948333501815796,-0.020318031311035156,0.8244659304618835,0.0516664981842041,-0.4237372577190399,-179.35816955566406,179.69338989257812,0.10593431442975998,-0.2264396846294403,-0.04599668085575104,56000,-0.06199979782104492,-0.013373106718063354,-0.15106678009033203,-0.015238523483276367,-0.00528193823993206,-0.02547621726989746,24733.978515625,521.029052734375,-7417.91748046875
20250903_114327.816713,2.0204665660858154,0.18201777338981628,2.947812080383301,-0.02046656608581543,0.8179821968078613,0.05218791961669922,-0.6474889516830444,-179.20199584960938,179.7069854736328,0.1618722379207611,-0.21177588403224945,-0.07346367090940475,56000,-0.06262550503015518,-0.013580814935266972,-0.13556957244873047,-0.015349924564361572,-0.00538389990106225,-0.05272984504699707,24539.466796875,527.598876953125,-7780.44482421875
20250903_114327.826707,2.0205931663513184,0.18892525136470795,2.9471065998077393,-0.02059316635131836,0.8110747337341309,0.05289340019226074,-0.7862818837165833,-178.76602172851562,179.8293914794922,0.1965704709291458,-0.26068800687789917,-0.06587451696395874,56000,-0.06347207725048065,-0.013790978118777275,-0.1834249496459961,-0.01544487476348877,-0.0054865493439137936,-0.04494309425354004,24332.2421875,534.1151123046875,-8288.9736328125
20250903_114327.836519,2.0211069583892822,0.19555102288722992,2.946535587310791,-0.021106958389282227,0.8044489622116089,0.053464412689208984,-0.6459879875183105,-178.48829650878906,178.96072387695312,0.16149699687957764,-0.2266242355108261,-0.2038171887397766,56000,-0.06415729224681854,-0.014003693126142025,-0.14846324920654297,-0.01583021879196167,-0.005590799264609814,-0.18239617347717285,24133.46875,540.5772094726562,-7950.92578125
20250903_114327.846498,2.0211727619171143,0.20274268090724945,2.945827007293701,-0.021172761917114258,0.7972573041915894,0.05417299270629883,-0.923003077507019,-178.8944091796875,179.46307373046875,0.23075076937675476,-0.26345735788345337,-0.044936321675777435,56000,-0.06500758975744247,-0.014218968339264393,-0.18423080444335938,-0.015879571437835693,-0.005696498788893223,-0.023360252380371094,23917.71875,546.9840087890625,-8629.9892578125
20250903_114327.856932,2.0212907791137695,0.21012920141220093,2.945112943649292,-0.02129077911376953,0.7898707985877991,0.05488705635070801,-0.8855592608451843,-178.53457641601562,179.25904846191406,0.22138981521129608,-0.26595810055732727,-0.06366685032844543,56000,-0.06586446613073349,-0.014437088742852211,-0.18565654754638672,-0.01596808433532715,-0.005802657455205917,-0.04189610481262207,23696.123046875,553.33251953125,-8863.82421875
20250903_114327.866527,2.021153688430786,0.21775950491428375,2.944413423538208,-0.021153688430786133,0.7822405099868774,0.05558657646179199,-1.3329819440841675,-178.86032104492188,179.10867309570312,0.33324548602104187,-0.2632371485233307,0.02689315751194954,56000,-0.06670389324426651,-0.014658035710453987,-0.18187522888183594,-0.0158652663230896,-0.0059087686240673065,0.048667192459106445,23467.21484375,559.6209716796875,-9156.3642578125
20250903_114327.877205,2.0213699340820312,0.22505587339401245,2.9436144828796387,-0.02136993408203125,0.7749441266059875,0.05638551712036133,-1.2687485218048096,-178.59201049804688,179.17384338378906,0.3171871304512024,-0.2902691662311554,-0.09880973398685455,56000,-0.06766261905431747,-0.014881979674100876,-0.20772457122802734,-0.016027450561523438,-0.0060150776989758015,-0.0767672061920166,23248.32421875,565.8497314453125,-8755.642578125
20250903_114327.886648,2.0214126110076904,0.23288264870643616,2.9429004192352295,-0.02141261100769043,0.7671173810958862,0.05709958076477051,-1.2768423557281494,-177.9183807373047,179.93914794921875,0.31921058893203735,-0.2692849934101105,-0.037331800907850266,55793,-0.06851949542760849,-0.015108950436115265,-0.18565654754638672,-0.016059458255767822,-0.006122034043073654,-0.015150308609008789,23013.521484375,572.0179443359375,-9392.130859375
20250903_114327.895804,2.0216434001922607,0.24074482917785645,2.9422380924224854,-0.021643400192260742,0.7592551708221436,0.05776190757751465,-1.38731050491333,-177.9801025390625,179.0874786376953,0.3468276262283325,-0.2568579316139221,-0.1043923869729042,55521,-0.06931428611278534,-0.015338673256337643,-0.17220497131347656,-0.016232550144195557,-0.006229674443602562,-0.08193016052246094,22777.654296875,578.1234130859375,-9434.6162109375
20250903_114327.907040,2.0216500759124756,0.2487683892250061,2.941415786743164,-0.021650075912475586,0.7512316107749939,0.05858421325683594,-1.4538263082504272,-178.22653198242188,179.45199584960938,0.3634565770626068,-0.29967188835144043,-0.024945344775915146,55092,-0.07030105590820312,-0.015571365132927895,-0.21379947662353516,-0.01623755693435669,-0.0063379080966115,-0.0023698806762695312,22536.94921875,584.1654052734375,-9628.2724609375
