time_s,roll_command,pitch_command,yaw_command,thrust_command
20250829_145232,-0.47977566719055176,-0.1778857707977295,0.7497994303703308,43923
20250829_145232,-0.3487550616264343,-0.1135234534740448,0.769173264503479,47015
20250829_145232,-0.3548882305622101,-0.13681629300117493,0.7537558078765869,47192
20250829_145232,-0.21066977083683014,-0.11622317135334015,0.7661203145980835,50826
20250829_145232,-0.3743194043636322,-0.1281311810016632,0.7496605515480042,46668
20250829_145232,-1.6303108930587769,-0.4829876720905304,0.7350311279296875,42000
20250829_145232,-0.516412615776062,-0.15572181344032288,0.7492464780807495,44220
20250829_145232,-0.224370077252388,-0.1439666897058487,0.7487281560897827,50419
20250829_145232,-0.41747575998306274,-0.18969698250293732,0.7473049163818359,46338
20250829_145232,-0.40888214111328125,-0.19523485004901886,0.743719220161438,46414
20250829_145232,-2.6382827758789062,-0.5680292844772339,0.7200192809104919,42000
20250829_145232,-0.26279139518737793,-0.1648266762495041,0.7203415036201477,49683
20250829_145232,-1.384637475013733,-0.5493078827857971,0.731113851070404,42000
20250829_145232,-0.2815212905406952,-0.17699553072452545,0.708002507686615,49008
20250829_145232,-1.5372074842453003,-0.7842516899108887,0.7427982687950134,42000
20250829_145232,-0.5686652660369873,-0.3175029456615448,0.7311113476753235,42420
20250829_145232,-0.447536826133728,-0.2531050741672516,0.7569335103034973,45472
20250829_145232,-0.3643829822540283,-0.30009031295776367,0.7422496676445007,45523
20250829_145232,-0.4434770941734314,-0.26973119378089905,0.7338340878486633,44951
20250829_145232,-0.4271344542503357,-0.2894155979156494,0.7376510500907898,45317
20250829_145232,-0.23360000550746918,-0.2020987719297409,0.7541388869285583,48992
20250829_145232,-3.367807626724243,-1.756727933883667,0.7947002053260803,42000
20250829_145232,-0.43466028571128845,-0.35744044184684753,0.7790300250053406,44654
20250829_145232,-0.2399005889892578,-0.21746298670768738,0.7880130410194397,48587
20250829_145232,-2.083827257156372,-1.1052695512771606,0.8057644367218018,42000
20250829_145232,-0.5231990218162537,-0.40311363339424133,0.7943487763404846,42360
20250829_145232,-0.44052964448928833,-0.32639530301094055,0.8093260526657104,44365
20250829_145232,-0.2533295750617981,-0.21965046226978302,0.8260363936424255,48367
20250829_145232,-1.6808515787124634,-1.507820963859558,0.8344306349754333,42000
20250829_145232,-0.5388258099555969,-0.3799716532230377,0.8354305624961853,43012
20250829_145232,-0.27767685055732727,-0.25062820315361023,0.8311294913291931,48120
20250829_145232,-1.688808798789978,-1.471717119216919,0.8284196257591248,42000
20250829_145232,-0.5143187046051025,-0.43281012773513794,0.8754636645317078,42649
20250829_145232,-0.4213569760322571,-0.4078883230686188,0.899829089641571,43946
20250829_145232,-0.40647003054618835,-0.3947153091430664,0.9076699018478394,43921
20250829_145232,-0.24431565403938293,-0.2786993086338043,0.9135429859161377,47627
20250829_145232,-2.451854944229126,-2.0722463130950928,0.9182530641555786,42000
20250829_145232,-0.26445361971855164,-0.2820674777030945,0.9124431610107422,47330
20250829_145232,-0.371641606092453,-0.3794794976711273,0.9377675652503967,44587
20250829_145232,-1.3739104270935059,-1.5023889541625977,0.9436274170875549,42000
20250829_145232,-0.5813677310943604,-0.5645661354064941,0.9597871899604797,42000
20250829_145232,-0.37578824162483215,-0.43411311507225037,0.961880624294281,43446
20250829_145232,-0.3888150751590729,-0.4567989408969879,0.9831407070159912,43929
20250829_145232,-0.24315425753593445,-0.2874372601509094,0.9348422884941101,47159
20250829_145232,-1.3024941682815552,-1.7248445749282837,0.993283212184906,42000
20250829_145232,-0.2605608403682709,-0.3155006468296051,1.0057264566421509,46575
20250829_145232,-1.3907462358474731,-1.707194209098816,1.0261681079864502,42000
20250829_145232,-0.46322932839393616,-0.5617663264274597,1.013176679611206,42000
20250829_145232,-0.23953814804553986,-0.3143378496170044,1.0158474445343018,46998
20250829_145232,-1.1930392980575562,-1.374954342842102,1.026871919631958,42000
20250829_145232,-0.45067113637924194,-0.6746383905410767,1.0340778827667236,42000
20250829_145232,-0.3475084602832794,-0.4959109425544739,1.0397943258285522,43417
20250829_145232,-0.25356507301330566,-0.3324493169784546,1.0181910991668701,46672
20250829_145232,-1.104823112487793,-1.8770012855529785,1.017979621887207,42000
20250829_145232,-0.42591291666030884,-0.6497265696525574,1.0299068689346313,42000
20250829_145232,-0.22117774188518524,-0.33829250931739807,1.045283555984497,46476
20250829_145232,-1.1713793277740479,-1.8098973035812378,1.055378794670105,42000
20250829_145232,-0.4214779734611511,-0.6893210411071777,1.0442918539047241,42000
20250829_145232,-0.29852262139320374,-0.5380779504776001,1.0566240549087524,43363
